doctor_id,doctor_name,department,title,date,start_time,end_time,location,availability,notes
D001,王明,心血管内科,主任医师,2025-06-30,08:00,12:00,A栋301诊室,Available,擅长高血压、冠心病
D002,王海,骨科,主任医师,2025-07-01,14:00,17:00,A栋301诊室,Fully Booked,
D003,李静,皮肤科,主治医师,2025-07-02,09:00,16:00,B栋105诊室,Available,下午2点到3点处理紧急会诊
D004,张伟,儿科,副主任医师,2025-07-02,08:00,12:00,C栋210诊室,Available,专攻新生儿疾病
D005,刘敏,妇产科,主治医师,2025-07-03,13:00,17:00,A栋502诊室,On Leave,
D006,王芳,心血管内科,主治医师,2025-06-30,08:30,11:30,A栋302诊室,Available,
D007,王明,心血管内科,主任医师,2025-07-06,08:00,12:00,A栋301诊室,Available,
D008,王明,心血管内科,主任医师,2025-07-06,14:00,17:00,A栋301诊室,Available,下午4点到6点要去病房巡视
D009,刘敏,妇产科,主治医师,2025-07-07,13:00,17:00,A栋502诊室,Available,
D010,李静,皮肤科,主治医师,2025-07-07,09:00,16:00,B栋105诊室,Available,
D011,李静,皮肤科,主治医师,2025-07-08,09:00,16:00,B栋105诊室,Available,
D012,李静,皮肤科,主治医师,2025-07-09,09:00,16:00,B栋105诊室,Available,下午3点到4点处理紧急会诊
D015,王芳,心血管内科,主治医师,2025-07-07,08:30,11:30,A栋302诊室,Available,
D016,王芳,心血管内科,主治医师,2025-07-08,08:30,11:30,A栋302诊室,Available,
D017,王芳,心血管内科,主治医师,2025-07-09,08:30,11:30,A栋302诊室,Available,
D018,王明,心血管内科,主任医师,2025-07-07,08:00,12:00,A栋301诊室,Available,9点之前要去病房巡视
D019,王明,心血管内科,主任医师,2025-07-08,08:00,12:00,A栋301诊室,Available,
D020,张伟,儿科,副主任医师,2025-07-07,08:00,12:00,C栋210诊室,Available,
D021,张伟,儿科,副主任医师,2025-07-08,08:00,12:00,C栋210诊室,Available,